desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.104,-0.513,0.586,-0.104,-0.512999,0.586,1.67499e-07,7.63692e-07,3.09659e-08,1.091
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,2.94994e-07,7.53304e-07,1.01565e-07,0.741
-0.304,-0.513,0.586,-0.304,-0.512999,0.586,3.57544e-07,7.37724e-07,1.85881e-07,0.746
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,2.98144e-07,7.52689e-07,1.03065e-07,0.738
-0.204,-0.413,0.586,-0.204,-0.413,0.585999,8.93395e-08,1.52474e-07,6.63939e-07,0.735
-0.204,-0.513,0.586,-0.204,-0.513,0.585999,6.00837e-08,1.08824e-07,6.47177e-07,0.754
-0.204,-0.613,0.586,-0.204,-0.613,0.585999,4.44787e-08,3.56804e-08,6.19255e-07,0.747
-0.204,-0.513,0.586,-0.204,-0.513,0.585999,5.96822e-08,1.08387e-07,6.46644e-07,0.742
-0.204,-0.513,0.686,-0.204,-0.512999,0.686,3.09725e-08,7.2116e-07,5.02185e-08,0.749
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,3.37858e-08,7.86665e-07,8.63909e-08,0.762
-0.204,-0.513,0.486,-0.204,-0.512999,0.486,3.74844e-08,8.72781e-07,2.17595e-07,0.755
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,3.38496e-08,7.8815e-07,8.78458e-08,0.75
-0.261735,-0.570735,0.528265,-0.261735,-0.570735,0.528264,4.07575e-07,5.00389e-07,5.01927e-07,0.739
-0.204,-0.513,0.586,-0.204001,-0.512999,0.586,5.57833e-07,5.9201e-07,4.48948e-07,0.757
-0.261735,-0.570735,0.643735,-0.261735,-0.570735,0.643735,4.25448e-07,3.69014e-07,3.7389e-07,0.747
-0.204,-0.513,0.586,-0.204001,-0.513,0.586,5.69997e-07,3.03772e-07,3.36223e-07,0.736
-0.261735,-0.455265,0.528265,-0.261735,-0.455264,0.528265,4.65876e-07,5.13007e-07,4.55652e-08,0.735
-0.204,-0.513,0.586,-0.204,-0.513,0.586,4.27312e-07,4.44438e-07,2.44117e-08,0.743
-0.261735,-0.455265,0.643735,-0.261735,-0.455264,0.643735,4.77304e-07,5.7874e-07,3.36663e-08,0.754
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,4.32675e-07,5.689e-07,7.27218e-08,0.744
-0.146265,-0.570735,0.528265,-0.146265,-0.570734,0.528265,3.67195e-07,5.33047e-07,1.44121e-07,0.747
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,4.32372e-07,5.68028e-07,7.39794e-08,0.738
-0.146265,-0.570735,0.643735,-0.146265,-0.570735,0.643735,3.75403e-07,4.03008e-07,1.0723e-07,0.744
-0.204,-0.513,0.586,-0.204,-0.513,0.586,4.2697e-07,4.42888e-07,2.56819e-08,0.763
-0.146265,-0.455265,0.528265,-0.146266,-0.455265,0.528265,7.49125e-07,2.42994e-07,3.2818e-07,0.733
-0.204,-0.513,0.586,-0.204001,-0.513,0.586,5.72702e-07,3.03561e-07,3.36047e-07,0.739
-0.146265,-0.455265,0.643735,-0.146266,-0.455264,0.643735,7.85113e-07,6.8951e-07,3.98519e-07,0.754
-0.204,-0.513,0.586,-0.204001,-0.512999,0.586,5.60133e-07,5.94466e-07,4.47542e-07,0.759
