desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z
-0.194,-0.513,0.386,-0.194,-0.513,0.386,7.85061e-10,2.77705e-09,2.84858e-10
-0.204,-0.513,0.386,-0.204,-0.513,0.386,1.24635e-09,2.56306e-09,4.51624e-10
-0.214,-0.513,0.386,-0.214,-0.513,0.386,1.27233e-09,2.5587e-09,4.7961e-10
-0.204,-0.513,0.386,-0.204,-0.513,0.386,8.2719e-10,2.77906e-09,3.12892e-10
-0.204,-0.503,0.386,-0.204,-0.503,0.386,2.48783e-10,2.25194e-10,2.56002e-09
-0.204,-0.513,0.386,-0.204,-0.513,0.386,1.94917e-10,2.26168e-10,2.27139e-09
-0.204,-0.523,0.386,-0.204,-0.523,0.386,1.89604e-10,1.89786e-10,2.23079e-09
-0.204,-0.513,0.386,-0.204,-0.513,0.386,2.40076e-10,1.94696e-10,2.51139e-09
-0.204,-0.513,0.396,-0.204,-0.513,0.396,1.36679e-10,3.18244e-09,1.23823e-09
-0.204,-0.513,0.386,-0.204,-0.513,0.386,1.52049e-10,3.54029e-09,1.07116e-09
-0.204,-0.513,0.376,-0.204,-0.513,0.376,1.53334e-10,3.57022e-09,1.09972e-09
-0.204,-0.513,0.386,-0.204,-0.513,0.386,1.37755e-10,3.20749e-09,1.28322e-09
-0.209774,-0.518774,0.380226,-0.209774,-0.518774,0.380226,1.85841e-09,1.76097e-09,2.4607e-09
-0.204,-0.513,0.386,-0.204,-0.513,0.386,1.99508e-09,2.36426e-09,2.26166e-09
-0.209774,-0.518774,0.391774,-0.209774,-0.518774,0.391774,1.85148e-09,1.58283e-09,3.43524e-11
-0.204,-0.513,0.386,-0.204,-0.513,0.386,2.03828e-09,1.82496e-09,7.16178e-11
-0.209774,-0.507226,0.380226,-0.209774,-0.507226,0.380226,1.46623e-09,2.09454e-09,6.71566e-10
-0.204,-0.513,0.386,-0.204,-0.513,0.386,1.57074e-09,1.77989e-09,5.81926e-10
-0.209774,-0.507226,0.391774,-0.209774,-0.507226,0.391774,1.46314e-09,2.20514e-09,2.18005e-10
-0.204,-0.513,0.386,-0.204,-0.513,0.386,1.58749e-09,1.97058e-09,5.66315e-10
-0.198226,-0.518774,0.380226,-0.198226,-0.518774,0.380226,1.56118e-09,1.9516e-09,6.13476e-10
-0.204,-0.513,0.386,-0.204,-0.513,0.386,1.44568e-09,2.19049e-09,2.5965e-10
-0.198226,-0.518774,0.391774,-0.198226,-0.518774,0.391774,1.54641e-09,1.75937e-09,5.53004e-10
-0.204,-0.513,0.386,-0.204,-0.513,0.386,1.45021e-09,2.06431e-09,6.4884e-10
-0.198226,-0.507226,0.380226,-0.198226,-0.507226,0.380226,2.10426e-09,1.83967e-09,1.00644e-10
-0.204,-0.513,0.386,-0.204,-0.513,0.386,1.90961e-09,1.58265e-09,9.55663e-12
-0.198226,-0.507226,0.391774,-0.198226,-0.507226,0.391774,2.06363e-09,2.40868e-09,2.23335e-09
-0.204,-0.513,0.386,-0.204,-0.513,0.386,1.91897e-09,1.78835e-09,2.44751e-09
