desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.194,-0.513,0.586,-0.194663,-0.513,0.586,0.00066322,5.68952e-08,3.26388e-08,0.638
-0.204,-0.513,0.586,-0.203404,-0.513,0.586,0.000596481,2.13048e-07,2.73424e-08,0.65
-0.214,-0.513,0.586,-0.213336,-0.513,0.586,0.00066361,2.02421e-07,2.79381e-08,0.626
-0.204,-0.513,0.586,-0.204663,-0.513,0.586,0.000662909,1.93795e-07,2.80224e-08,0.633
-0.204,-0.503,0.586,-0.204,-0.503663,0.586,1.15105e-07,0.000663231,1.73148e-07,0.625
-0.204,-0.513,0.586,-0.204,-0.512463,0.586,1.73536e-08,0.000536962,1.83043e-07,0.66
-0.204,-0.523,0.586,-0.204,-0.522336,0.586,1.5781e-08,0.000663536,1.70826e-07,0.629
-0.204,-0.513,0.586,-0.204,-0.513663,0.586,1.52344e-08,0.000663147,1.69183e-07,0.628
-0.204,-0.513,0.596,-0.204,-0.513,0.595337,8.72567e-09,2.46343e-07,0.000663307,0.626
-0.204,-0.513,0.586,-0.204,-0.513,0.586663,8.83042e-09,2.05608e-07,0.000663152,0.626
-0.204,-0.513,0.576,-0.204,-0.513,0.576663,8.91445e-09,2.07563e-07,0.00066335,0.63
-0.204,-0.513,0.586,-0.204,-0.513,0.585181,6.35953e-09,1.48074e-07,0.000818761,0.623
-0.209774,-0.518774,0.580226,-0.20939,-0.518391,0.58061,0.000383316,0.000382495,0.000383205,0.626
-0.204,-0.513,0.586,-0.204382,-0.513383,0.585617,0.000382488,0.000383308,0.000382562,0.626
-0.209774,-0.518774,0.591774,-0.209301,-0.518301,0.591301,0.00047284,0.000472677,0.000472718,0.622
-0.204,-0.513,0.586,-0.204383,-0.513383,0.586383,0.000382722,0.000382948,0.00038296,0.626
-0.209774,-0.507226,0.580226,-0.209391,-0.50761,0.580609,0.00038281,0.000383087,0.000382975,0.626
-0.204,-0.513,0.586,-0.204383,-0.512617,0.585617,0.000383016,0.000382786,0.0003829,0.643
-0.209774,-0.507226,0.591774,-0.209301,-0.507699,0.591301,0.000472648,0.000472838,0.000472762,0.621
-0.204,-0.513,0.586,-0.204383,-0.512617,0.586383,0.000382974,0.000382712,0.000382882,0.643
-0.198226,-0.518774,0.580226,-0.198652,-0.518348,0.580652,0.000425654,0.000425423,0.000425574,0.636
-0.204,-0.513,0.586,-0.203527,-0.513473,0.585527,0.000472613,0.0004728,0.000472682,0.62
-0.198226,-0.518774,0.591774,-0.19861,-0.518391,0.591391,0.000383009,0.000382783,0.000382946,0.637
-0.204,-0.513,0.586,-0.203617,-0.513383,0.586383,0.000382764,0.000382993,0.000382886,0.647
-0.198226,-0.507226,0.580226,-0.198571,-0.507571,0.580571,0.000344471,0.000344761,0.000344777,0.651
-0.204,-0.513,0.586,-0.203655,-0.512655,0.585656,0.000344751,0.000344504,0.000344498,0.649
-0.198226,-0.507226,0.591774,-0.198699,-0.5077,0.591301,0.000472311,0.000473187,0.000472444,0.624
-0.204,-0.513,0.586,-0.203527,-0.512528,0.586473,0.000473111,0.000472236,0.000473021,0.622
