timestamp,vx,vy,vz,vmag
0,-1.29136e-05,-1.27609e-05,-1.28965e-05,2.22693e-05
0.029,0.000765298,-3.64555e-07,-3.74579e-07,0.000765298
0.077,0.00286644,9.83219e-07,6.54184e-07,0.00286644
0.125,0.0051923,9.71066e-07,3.33957e-07,0.0051923
0.182,0.0128947,5.08619e-07,-3.00189e-08,0.0128947
0.229,0.0169159,-9.63767e-06,1.11632e-06,0.0169159
0.277,0.0222255,-4.64265e-05,5.83123e-06,0.0222256
0.326,0.0272486,-5.99957e-05,7.4534e-06,0.0272486
0.375,0.0328142,-7.21406e-05,8.74657e-06,0.0328143
0.427,0.0399655,-8.95469e-05,1.05221e-05,0.0399656
0.477,0.04661,-0.0001348,1.55732e-05,0.0466102
0.53,0.0539333,-0.000175778,1.98128e-05,0.0539336
0.576,0.0583244,-0.000156463,1.65681e-05,0.0583246
0.628,0.0653826,-0.00019772,2.03917e-05,0.0653829
0.679,0.0730715,-0.000347517,3.53412e-05,0.0730723
0.726,0.0765054,-0.000178967,1.58266e-05,0.0765057
0.777,0.0822328,-0.000283428,2.45068e-05,0.0822333
0.825,0.0851797,-0.000129108,8.13095e-06,0.0851798
0.875,0.087214,-9.93229e-05,3.44507e-06,0.0872141
0.926,0.0884277,-0.000118211,4.80725e-06,0.0884278
0.976,0.0890751,-0.000126755,3.87727e-06,0.0890752
1.029,0.0895872,-0.000222954,1.18089e-05,0.0895875
1.08,0.0898476,-0.000399215,2.34622e-05,0.0898485
1.13,0.0892332,-0.000235355,1.08387e-05,0.0892335
1.179,0.0872442,-0.000259827,1.06551e-05,0.0872446
1.225,0.0856256,4.84359e-05,-1.00454e-05,0.0856256
1.276,0.0806669,4.41667e-05,-9.47871e-06,0.0806669
1.328,0.0747511,8.02258e-06,-5.92391e-06,0.0747511
1.378,0.0683804,6.73156e-06,-5.59494e-06,0.0683804
1.427,0.0635832,8.08823e-05,-8.73422e-06,0.0635833
1.479,0.0556759,1.87117e-05,-4.64604e-06,0.0556759
1.529,0.0504055,5.43486e-05,-5.55006e-06,0.0504055
1.575,0.0462368,0.000129374,-8.87487e-06,0.0462369
1.626,0.0395301,0.000102619,-6.76389e-06,0.0395302
